date,code,score,next_open_return_pct
2026-01-20,005380,54.06,-2.2965
2026-01-20,105560,51.98,-0.9016
2026-01-21,005380,57.78,6.7395
2026-01-21,066570,54.88,2.1043
2026-01-21,055550,53.22,0.6158
2026-01-21,012330,52.24,1.9487
2026-01-21,105560,52.05,0.0000
2026-01-22,006400,69.01,4.5514
2026-01-22,066570,54.78,0.0000
2026-01-22,003670,53.73,3.2258
2026-01-22,005490,52.13,3.1989
2026-01-22,207940,50.84,0.8999
2026-01-23,035420,69.98,3.0075
2026-01-23,006400,68.41,3.3512
2026-01-23,035720,54.97,2.1311
2026-01-23,032830,53.58,0.7563
2026-01-23,105560,52.85,-0.5900
2026-01-26,003670,60.48,-0.6565
2026-01-26,035420,53.95,-0.7339
2026-01-26,006400,51.53,-3.4884
2026-01-27,017670,69.94,0.8646
2026-01-27,035420,56.53,1.2433
2026-01-27,105560,52.03,-0.9091
2026-01-27,316140,51.25,0.0000
2026-01-27,055550,51.09,-1.3937
2026-01-28,017670,58.07,1.0145
2026-01-28,003670,51.55,2.5052
2026-01-28,005490,50.09,-0.6614
2026-01-29,003670,57.04,0.6383
2026-01-29,032830,54.44,-0.9896
2026-01-29,096770,52.77,1.1454
2026-01-29,005490,51.73,-0.6868
2026-02-03,086790,50.84,1.5426
2026-02-03,034730,50.81,-1.6975
2026-02-03,032830,50.42,-0.3221
2026-02-04,105560,52.40,-0.1407
2026-02-05,068270,56.53,-2.5287
2026-02-06,105560,66.50,0.8038
2026-02-06,055550,55.95,2.5641
2026-02-09,028260,52.26,2.4000
2026-02-09,000660,51.49,0.7892
2026-02-09,055550,50.88,2.4625
2026-02-09,030200,50.87,1.1804
2026-02-10,034730,51.51,-0.7564
2026-02-11,066570,68.48,-0.0782
2026-02-11,105560,51.09,-0.4255
2026-02-11,017670,50.80,1.0610
2026-02-12,066570,63.12,-2.8830
2026-02-12,096770,53.92,-0.2580
2026-02-12,006400,51.53,-2.0752
2026-02-12,316140,50.93,2.4266
2026-02-13,086790,50.02,2.4295
2026-02-20,096770,55.65,0.5486
2026-02-23,032830,56.01,1.5086
2026-02-23,030200,52.41,-1.0340
2026-02-23,005490,51.82,0.6443
2026-02-23,086790,51.16,-0.3098
2026-02-24,086790,54.49,-0.7137
2026-02-24,096770,54.24,-1.0167
2026-02-24,055550,50.99,-0.5946
2026-02-25,051910,58.72,0.0000
2026-02-25,005380,55.09,0.3497
2026-02-25,012330,53.99,3.9404
2026-02-25,066570,51.12,6.5266
2026-02-26,035720,61.51,-0.1629
2026-02-26,012330,52.19,-4.1588
2026-02-26,086790,50.44,-1.5212
2026-02-26,017670,50.33,-1.8226
2026-02-27,051910,55.30,-3.7126
2026-02-27,316140,51.26,-0.4167
2026-03-03,096770,73.73,4.4309
2026-03-11,034730,51.60,-1.9471
2026-03-18,005930,54.89,-4.1247
2026-03-18,000660,51.45,-4.5455
2026-04-02,006400,52.95,1.9187
2026-04-03,009150,50.53,-0.1096
2026-04-07,017670,54.48,4.9020
2026-04-07,009150,51.88,7.2210
2026-04-08,010130,53.48,0.2524
2026-04-08,005930,53.31,-1.6627
2026-04-08,017670,52.97,4.4944
2026-04-13,000660,51.32,5.0000
2026-04-15,030200,50.90,0.1553
2026-04-16,055550,54.81,-0.3003
2026-04-17,003670,50.84,0.6397
2026-04-20,030200,55.82,0.4777
2026-04-20,105560,55.00,0.1865
2026-04-21,005490,62.35,-0.3559
2026-04-21,006400,61.73,6.3566
2026-04-21,096770,56.26,1.2734
2026-04-21,003670,54.78,0.1949
2026-04-22,006400,55.84,-0.3035
2026-04-22,096770,53.99,0.3731
2026-04-23,055550,56.35,0.1001
2026-04-23,005490,55.75,0.2436
2026-04-23,003670,52.59,1.2195
2026-04-23,034730,50.92,0.1261
2026-04-24,086790,52.35,1.4599
2026-04-27,055550,56.64,0.3009
2026-04-27,096770,52.50,0.2301
2026-04-27,032830,50.64,-0.8000
2026-04-27,316140,50.28,-0.1506
2026-04-27,003670,50.19,1.6032
2026-04-28,005490,64.83,2.2508
2026-04-28,066570,60.30,0.8571
2026-04-28,086790,53.05,0.0787
2026-04-28,055550,50.21,0.1001
2026-04-29,096770,69.78,-2.2029
2026-04-29,055550,59.22,-1.0000
2026-04-29,105560,52.01,0.9963
