date,code,name,score,regime,ret_pct
2025-07-17,000100,유한양행,98.45,weak,0.3682
2025-07-17,087010,펩트론,92.88,weak,-0.3527
2025-07-17,249420,일동제약,87.13,weak,-1.0965
2025-07-18,022100,포스코DX,100.00,weak,-0.7890
2025-07-18,078600,대주전자재료,99.57,weak,-0.5175
2025-07-18,457190,이수스페셜티케미컬,99.08,weak,0.6529
2025-07-18,006280,녹십자,98.38,weak,0.0651
2025-07-18,009520,포스코엠텍,98.26,weak,-2.5076
2025-07-22,082740,한화엔진,100.00,weak,-1.7828
2025-07-22,060250,NHN KCP,99.15,weak,-5.1791
2025-07-22,460930,현대힘스,98.67,weak,-1.7259
2025-07-22,001270,부국증권,98.19,weak,-3.8519
2025-07-22,005300,롯데칠성,97.90,weak,-0.9123
2025-07-23,047050,포스코인터내셔널,100.00,weak,-1.4363
2025-07-23,005850,에스엘,99.91,weak,-1.2605
2025-07-23,009520,포스코엠텍,97.11,weak,-0.6780
2025-07-23,000250,삼천당제약,96.47,weak,2.1077
2025-07-23,251270,넷마블,92.95,weak,1.3289
2025-07-24,083650,비에이치아이,97.84,weak,-1.8519
2025-07-24,100840,SNT에너지,97.78,weak,2.5381
2025-07-24,237690,에스티팜,97.76,weak,-0.1079
2025-07-24,322000,HD현대에너지솔루션,97.76,weak,-0.9119
2025-07-24,267270,HD건설기계,97.37,weak,-1.6913
2025-07-25,034220,LG디스플레이,100.00,weak,-1.2935
2025-07-25,082740,한화엔진,97.67,weak,0.4208
2025-07-25,336260,두산퓨얼셀,84.73,weak,-1.8868
2025-07-25,100840,SNT에너지,77.23,weak,-4.1748
2025-07-25,009420,한올바이오파마,75.88,weak,-1.8836
2025-07-28,399720,가온칩스,100.00,weak,-3.2353
2025-07-28,047810,한국항공우주,99.78,weak,-1.0152
2025-07-28,183300,코미코,98.42,weak,2.9619
2025-07-28,005290,동진쎄미켐,98.41,weak,1.8433
2025-07-28,097230,HJ중공업,97.98,weak,2.8217
2025-07-31,077360,덕산하이메탈,99.75,weak,-2.0121
2025-07-31,005880,대한해운,98.58,weak,-0.3780
2025-07-31,460930,현대힘스,98.28,weak,2.4570
2025-07-31,272210,한화시스템,97.85,weak,3.3670
2025-07-31,025980,아난티,97.57,weak,-1.9095
2025-08-01,077970,STX엔진,98.50,weak,-2.4341
2025-08-01,295310,에이치브이엠,96.57,weak,-7.8103
2025-08-01,025980,아난티,94.56,weak,-2.3992
2025-08-01,051900,LG생활건강,75.81,weak,1.0239
2025-08-01,042660,한화오션,60.36,weak,-2.2147
2025-08-05,326030,SK바이오팜,98.50,weak,-2.5135
2025-08-05,229640,LS에코에너지,98.34,weak,-2.0556
2025-08-05,247540,에코프로비엠,96.98,weak,0.1606
2025-08-05,107640,한중엔시에스,96.29,weak,-0.8322
2025-08-05,347700,스피어,74.69,weak,-2.0573
2025-08-06,457190,이수스페셜티케미컬,98.34,weak,-1.3699
2025-08-06,097230,HJ중공업,96.14,weak,0.6124
2025-08-06,003570,SNT다이내믹스,95.54,weak,0.3367
2025-08-06,064400,LG씨엔에스,94.61,weak,2.3704
2025-08-06,278470,에이피알,94.42,weak,3.8369
2025-08-08,195940,HK이노엔,97.98,weak,-0.8677
2025-08-08,161890,한국콜마,97.17,weak,-1.4623
2025-08-08,222800,심텍,96.08,weak,-0.3591
2025-08-08,019170,신풍제약,95.91,weak,-3.6876
2025-08-08,034230,파라다이스,95.79,weak,-0.4619
2025-08-11,079900,전진건설로봇,98.34,weak,-2.7923
2025-08-11,005070,코스모신소재,96.62,weak,-0.7400
2025-08-11,348370,엔켐,96.42,weak,1.0345
2025-08-11,086900,메디톡스,95.32,weak,-1.6129
2025-08-11,122870,와이지엔터테인먼트,93.54,weak,-1.4382
2025-08-12,023160,태광,97.47,weak,-0.4000
