date,code,name,score,regime,ret_pct
2025-08-04,100090,SK오션플랜트,97.52,strong,-2.2573
2025-08-04,097230,HJ중공업,96.99,strong,0.2941
2025-08-04,030530,원익홀딩스,96.95,strong,-0.4724
2025-08-04,347700,스피어,94.31,strong,5.2929
2025-08-04,295310,에이치브이엠,83.37,strong,0.6400
2025-08-07,035720,카카오,98.42,neutral,-1.7296
2025-08-07,097230,HJ중공업,94.70,neutral,0.0000
2025-08-07,007390,네이처셀,92.43,neutral,3.4836
2025-08-07,145020,휴젤,67.74,neutral,1.5278
2025-08-14,098070,한텍,96.87,neutral,4.0426
2025-08-14,018880,한온시스템,96.54,neutral,0.9534
2025-08-14,336260,두산퓨얼셀,96.05,neutral,1.3384
2025-08-14,077970,STX엔진,95.64,neutral,-5.2342
2025-08-14,161390,한국타이어앤테크놀로지,80.65,neutral,1.0063
2025-08-20,249420,일동제약,92.58,neutral,0.6579
2025-08-20,018880,한온시스템,71.15,neutral,-0.9781
2025-08-22,032820,우리기술,96.22,neutral,3.8978
2025-08-22,064260,다날,95.89,neutral,1.5605
2025-08-22,458870,씨어스,93.59,neutral,0.7887
2025-08-22,006910,보성파워텍,91.96,neutral,1.8450
2025-08-22,100090,SK오션플랜트,81.18,neutral,1.2077
2025-08-25,277810,레인보우로보틱스,99.40,strong,-1.8998
2025-08-25,030530,원익홀딩스,99.36,strong,-2.0093
2025-08-25,454910,두산로보틱스,98.57,strong,-0.9464
2025-08-25,437730,삼현,98.00,strong,-2.3048
2025-08-25,466100,클로봇,96.68,strong,-1.6465
2025-08-26,298040,효성중공업,99.49,neutral,1.3589
2025-08-26,454910,두산로보틱스,98.88,neutral,0.6192
2025-08-26,030530,원익홀딩스,97.42,neutral,0.1326
2025-08-26,466100,클로봇,97.37,neutral,1.2665
2025-08-26,011790,SKC,97.27,neutral,1.1318
2025-08-27,059090,미코,98.54,neutral,-2.0544
2025-08-27,389470,인벤티지랩,96.46,neutral,0.1054
2025-08-27,336260,두산퓨얼셀,95.56,neutral,-1.1173
2025-08-27,090460,비에이치,75.87,neutral,-0.9315
2025-08-27,329180,HD현대중공업,66.62,neutral,1.1516
2025-08-28,009540,HD한국조선해양,98.37,neutral,-1.1016
2025-08-28,067310,하나마이크론,98.31,neutral,0.3615
2025-08-28,466100,클로봇,97.13,neutral,0.0000
2025-08-28,460930,현대힘스,96.75,neutral,-1.0989
2025-08-28,001270,부국증권,96.64,neutral,2.6521
2025-09-02,108490,로보티즈,99.86,neutral,-0.8742
2025-09-02,249420,일동제약,98.68,neutral,2.6316
2025-09-02,013030,하이록코리아,98.37,neutral,-1.1299
2025-09-02,437730,삼현,97.78,neutral,0.1326
2025-09-02,466100,클로봇,97.54,neutral,0.9975
2025-09-03,097230,HJ중공업,99.33,strong,1.7094
2025-09-03,358570,지아이이노베이션,96.79,strong,-1.6967
2025-09-03,036810,에프에스티,96.67,strong,1.3953
2025-09-03,226950,올릭스,93.86,strong,0.7353
2025-09-03,377300,카카오페이,90.00,strong,0.3846
2025-09-04,100090,SK오션플랜트,98.08,neutral,0.0000
