date,code,name,score,regime,strategy,sector,exit_type,ret_pct
2025-06-26,004990,롯데지주,97.45,weak,종가매매,금융,open,1.8116
2025-06-26,120110,코오롱인더,96.48,weak,종가매매,화학,open,-0.9324
2025-06-26,005690,파미셀,96.23,weak,종가매매,제약,open,-1.9355
2025-06-27,388720,유일로보틱스,97.54,weak,종가매매,기계/장비,open,2.7879
2025-06-27,120110,코오롱인더,96.11,weak,종가매매,화학,open,-0.8879
2025-06-27,376300,디어유,95.93,weak,종가매매,IT 서비스,open,-1.6077
2025-06-27,103590,일진전기,95.45,weak,종가매매,전기/전자,open,1.0638
2025-06-27,090710,휴림로봇,95.21,weak,종가매매,기계/장비,open,5.1118
2025-06-30,328130,루닛,59.21,neutral,섹터RS+거래량,IT 서비스,open,-0.5222
2025-07-01,064260,다날,92.12,weak,종가매매,IT 서비스,open,-1.9048
2025-07-01,000880,한화,80.54,weak,종가매매,화학,open,-2.8493
2025-07-01,030530,원익홀딩스,76.95,weak,종가매매,화학,open,4.7231
2025-07-01,096770,SK이노베이션,70.97,weak,종가매매,화학,open,-4.1897
2025-07-01,034730,SK,63.99,weak,종가매매,금융,open,-0.4464
2025-07-04,036460,한국가스공사,97.28,weak,종가매매,전기/가스,open,-2.0063
2025-07-04,064260,다날,87.85,weak,종가매매,IT 서비스,open,4.1322
2025-07-04,138930,BNK금융지주,83.32,weak,종가매매,금융,open,1.5672
2025-07-04,009540,HD한국조선해양,75.62,weak,종가매매,금융,open,-0.6515
2025-07-04,068760,셀트리온제약,62.87,weak,종가매매,제약,open,-0.8989
2025-07-09,088350,한화생명,96.82,weak,종가매매,보험,open,7.8562
2025-07-09,004990,롯데지주,96.10,weak,종가매매,금융,open,-0.5682
2025-07-09,249420,일동제약,95.41,weak,종가매매,제약,open,-1.7116
2025-07-09,003540,대신증권,95.12,weak,종가매매,증권,open,-0.8278
2025-07-09,060250,NHN KCP,94.80,weak,종가매매,금융,open,4.4430
2025-07-10,001270,부국증권,79.00,strong,섹터RS+거래량,증권,open,1.0558
2025-07-10,001720,신영증권,71.08,strong,섹터RS+거래량,증권,open,2.0910
2025-07-11,001270,부국증권,79.00,neutral,섹터RS+거래량,증권,open,-3.4125
2025-07-11,003540,대신증권,51.10,neutral,섹터RS+거래량,증권,open,-0.8000
2025-07-16,213420,덕산네오룩스,97.32,weak,종가매매,전기/전자,open,-2.3002
2025-07-16,002380,KCC,53.18,weak,종가매매,화학,open,3.3505
2025-07-17,232140,와이씨,100.00,weak,종가매매,기계/장비,open,-3.9350
2025-07-17,009420,한올바이오파마,100.00,weak,종가매매,제약,open,-0.6689
2025-07-17,000100,유한양행,98.45,weak,종가매매,제약,open,0.3682
2025-07-17,087010,펩트론,92.88,weak,종가매매,제약,open,-0.3527
2025-07-17,249420,일동제약,87.13,weak,종가매매,제약,open,-1.0965
2025-07-18,022100,포스코DX,100.00,weak,종가매매,일반서비스,open,-0.7890
2025-07-18,078600,대주전자재료,99.57,weak,종가매매,전기/전자,open,-0.5175
2025-07-18,457190,이수스페셜티케미컬,99.08,weak,종가매매,화학,open,0.6529
2025-07-18,006280,녹십자,98.38,weak,종가매매,제약,open,0.0651
2025-07-18,009520,포스코엠텍,98.26,weak,종가매매,금속,open,-2.5076
2025-07-21,112610,씨에스윈드,95.72,strong,섹터RS+거래량,금속,open,-1.1628
2025-07-21,044490,태웅,79.00,strong,섹터RS+거래량,금속,open,-4.6350
2025-07-22,082740,한화엔진,100.00,weak,종가매매,기계/장비,open,-1.7828
2025-07-22,060250,NHN KCP,99.15,weak,종가매매,금융,open,-5.1791
2025-07-22,460930,현대힘스,98.67,weak,종가매매,운송장비/부품,open,-1.7259
2025-07-22,001270,부국증권,98.19,weak,종가매매,증권,open,-3.8519
2025-07-22,005300,롯데칠성,97.90,weak,종가매매,음식료/담배,open,-0.9123
2025-07-23,047050,포스코인터내셔널,100.00,weak,종가매매,유통,open,-1.4363
2025-07-23,005850,에스엘,99.91,weak,종가매매,운송장비/부품,open,-1.2605
2025-07-23,009520,포스코엠텍,97.11,weak,종가매매,금속,open,-0.6780
2025-07-23,000250,삼천당제약,96.47,weak,종가매매,제약,open,2.1077
2025-07-23,251270,넷마블,92.95,weak,종가매매,IT 서비스,open,1.3289
